    fip     | dnp3  | index |           type            |                         dev                         |           attr            |          bit          
 A30-ACO-DN |   278 |    59 | ABNORMAL_CONDITION_DEVICE | ACO_NGD_TIMED_CURRENT_SCR_ALM                       | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   279 |    60 | ABNORMAL_CONDITION_DEVICE | ACO_NGD_MAN_BYPASS_SW_OPEN                          | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   280 |    60 | ABNORMAL_CONDITION_DEVICE | ACO_NGD_MAN_BYPASS_SW_OPEN                          | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   281 |    61 | ABNORMAL_CONDITION_DEVICE | ACO_NGD_TROUBLE                                     | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   282 |    61 | ABNORMAL_CONDITION_DEVICE | ACO_NGD_TROUBLE                                     | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   283 |    62 | ABNORMAL_CONDITION_DEVICE | ACO_DC_ENCLR_ALIVE                                  | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   284 |    62 | ABNORMAL_CONDITION_DEVICE | ACO_DC_ENCLR_ALIVE                                  | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   285 |    63 | ABNORMAL_CONDITION_DEVICE | ACO_DC_ENCLR_GND                                    | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   286 |    63 | ABNORMAL_CONDITION_DEVICE | ACO_DC_ENCLR_GND                                    | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   287 |    64 | ABNORMAL_CONDITION_DEVICE | ACO_GND_CKT_PWR_FAIL                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   288 |    64 | ABNORMAL_CONDITION_DEVICE | ACO_GND_CKT_PWR_FAIL                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   289 |    68 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_B01_TEST                                    | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   290 |    68 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_B01_TEST                                    | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   291 |    69 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_B01_DISCONNECT_POS                          | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   292 |    69 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_B01_DISCONNECT_POS                          | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   293 |    73 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_B04_TEST                                    | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   294 |    73 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_B04_TEST                                    | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   295 |    74 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_B04_DISCONNECT_POS                          | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   296 |    74 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_B04_DISCONNECT_POS                          | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   297 |    78 | ABNORMAL_CONDITION_DEVICE | ACO_MPR_B02_BRK_TEST_POS                            | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   298 |    78 | ABNORMAL_CONDITION_DEVICE | ACO_MPR_B02_BRK_TEST_POS                            | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   299 |    79 | ABNORMAL_CONDITION_DEVICE | ACO_MPR_B02_DISCONNECT_POS                          | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   300 |    79 | ABNORMAL_CONDITION_DEVICE | ACO_MPR_B02_DISCONNECT_POS                          | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   301 |    80 | ABNORMAL_CONDITION_DEVICE | ACO_MPR_B02_TROUBLE                                 | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   302 |    80 | ABNORMAL_CONDITION_DEVICE | ACO_MPR_B02_TROUBLE                                 | ABC_DEVICE_ELEC_IND       | NO_ALARM
